Precio,Ubicación,Descripción,Latitud,Longitud,Mantenimiento,Zona,Ubicación_ID,m²,Recámaras,Baños,Estacionamiento
200000,San Pedro Garza García,"Extraordinaria y Lujosa propiedad totalmente nueva en Venta ubicado en el Corazón de la colonia del Valle en San Pedro Garza García. Esta propiedad de 4 recamaras se ubica en la zona de los Rios, a escasos metros de Calzada San Pedro y el prestigiado y recien Re modelado Parque ""El Capitan"". Todas las habitaciones cuentan con su baño y walk in closet. Su cocina de marca de presitigo totalmente equipada abrazarà tus mejores momentos rodeado de tus seres queridos. Ademas, cuenta con un impecable jardín con terraza para disfrutar del aire libre. Y, por si fuera poco, cuenta con la preparación para integrar un elevador en un futuro. Esta propiedad se entrega totalmente equipada y amueblada. Aprovecha esta inigualable oportunidad de Vivir en una de la zonas historicamente mas centricas, tranquilas y seguras de spgg, pero un entorno de una propiedad absolutamente nueva. Detalles: Terreno: 400 m2. Construcción: 528m2. Recamaràs: 4. Baños: 5 y 2 medios baños. Cuarto de Servicio: Sí. Jardin: Sí. Book Your appointment today! Ism",25.6564843,-100.3694401,0,Del Valle,102.0,400,4,5,3
165000,San Pedro Garza García,"Preciosa Residencia muy iluminada con acabados de Super Lujo en exclusiva Colonia Privada con caseta de Vigilancia. 3 Recámaras con walking closet cada una, 4. 5 Baños, Cocina completamente Equipada con Electrodomésticos de Importación, Estudio, Estancia Familiar, Sala de T. V. Con Bar y Comedor, Terraza, Extenso Jardín con Asador, Cochera para 3 Autos, Vistas Espectaculares a la Sierra Madre.",25.6337169,-100.3399657,0,San Agustin Campestre,102.0,650,3,0,3
60000,San Pedro Garza García,"Hermosa residencia en Renta, recién remodelada en Palo Blanco en San Pedro Garza García. 270 m2 de terreno. 370 m2 de construcción. 2 plantas, Cochera con portón para 2. 3 recamaras c/u baño y vestidor. Estancia. Closet de blancos. Balcones. Sala. Comedor. Recibidor. Medio baño. Cocina con antecomedor. Lavanderia. Cuarto de servicio. Patio con piso y jardineras iluminadas. Closets en cochera. Book you appointment Today! Ism",25.6504619,-100.3953763,0,Palo Blanco,102.0,270,3,3,2
39000,San Pedro Garza García,"Casa equipada en renta Hacienda del Valle, San Pedro Garza García eb-qf5930. Completamente remodelada de dos niveles en fraccionamiento privado con acceso controlado, cerca de Avenidas principales como Alfonso Reyes, Bosques del Valle y Vasconcelos. Ubicada casi frente a parque cerrado con juegos infantiles. Primer Nivel. -Área de sala y comedor amplias con ventana corrediza e iluminación natural. -Medio baño de visitas. - Cocina equipada con cubierta de cuarzo. -Bodega pequeña. -lavandería techada. -Patio mediano. Segundo Nivel. -Recamara principal con doble altura, baño completo y closet de pared amplio. -2 recamaras secundarias con closet de pared, y una de ellas cuenta con balcón, ambas comparten baño completo. Nota: cuenta con 4 mini splits. ""Esta es una de las varias opciones que tenemos para ti. Somos una agencia de bienes raíces especializada en la venta y renta de vivienda residencial, te brindamos un servicio personalizado y de alta calidad. Si necesitas ayuda para comprar o rentar, contáctanos y uno de nuestros asesores te atenderá. """,25.645708,-100.3866295,0,Hacienda Del Valle,102.0,150,3,2,2
65000,San Pedro Garza García,"Casa en renta Fuente del Valle, San Pedro Garza García eb-qz4221. 300m2 de terreno. 420m2 de construcción. Casa en Renta con las siguientes descripciones: -Cochera para 3 autos. -Recibidor. -Sala / comedor / estancia en planta baja. -Cocina equipada con lava trastes, horno de microondas, clima y candiles. -Recámara en planta baja. -Patio / cuarto de servicio. -4 recámaras en planta alta. -Terraza. ""Esta es una de las varias opciones que tenemos para ti. Somos una agencia de bienes raíces especializada en la venta y renta de vivienda residencial, te brindamos un servicio personalizado y de alta calidad. Si necesitas ayuda para comprar o rentar, contáctanos y uno de nuestros asesores te atenderá. """,25.6650914,-100.364845,0,Fuentes del Valle,102.0,300,4,3,3
200000,San Pedro Garza García,"Increible casa moderna totalmente amueblada en los rios spgg en renta. -550 m2 de Terreno. -600 m2 de Construccion. -3 Recamaras todasncon baño y walk in closet. -Marmol Santo Tomas en toda la casa y acabados de lujo. -Espacio de oficina que conecta con recamara principal. -tv Room en planta baja. -En los Rios a 1 cuadra de Calzada. -Se renta totalmente amueblada y equipada. -Espectacular Jardin y Alberca. -Muebles de Diseñador. -Cochera para 3. -Cuarto de servicio con baño completo. Precio Renta: $200, 000 + Iva",25.6564843,-100.3694401,0,Del Valle,102.0,550,3,4,3
42000,Monterrey,"Casa equipada en renta Cumbres Elite, Monterrey N. L. Eb-qq4482. Con doble terreno, frente a parque. Cerca de avenida Paseo de los Leones y centros comerciales, restaurantes y colegios privados. Planta baja. -Cochera doble techada con portón eléctrico. -Bodega. -Recibidor. -Baño de visitas. -Cuarto de estudio. -Área de estancia. -Sala/ Comedor amplia con techos doble altura y ventanal de piso a techo. -Cocina totalmente equipado con parrilla, campana, microondas, refrigerador y lavavajillas. -Patio amplio con techo y sala de jardín, asador green egg. -Cuarto de servicio con baño completo. Planta alta. -3 recamaras amplias, la principal con balcón, cada una con mini split, walk in closet y baño completo. -Lavandería techada con área de tendido. ""Esta es una de las varias opciones que tenemos para ti. Somos una agencia de bienes raíces especializada en la venta y renta de vivienda residencial, te brindamos un servicio personalizado y de alta calidad. Si necesitas ayuda para comprar o rentar, contáctanos y uno de nuestros asesores te atenderá. """,25.7469674,-100.4014978,0,Cumbres Elite,101.0,330,3,3,2
75000,Santiago,"Clave del Inmueble: cha-V-pg-7135Casa venta o renta amueblada en Carretera Nacional, dentro d fraccionamiento privado. T: 525m2C: 505m24 recamaras una en planta baja. 5 baños completos1/2 bañococina, sala comedor, terraz, alberca, area de asadorescochera para tres autos. A tus órdenesContacta a: Patricia Gonzalez/ 81 Ver datosEnlaza brrío Sena #30, Col. Roma, Monterrey, N. L. C. P. Ver datosTel. 81 Ver datos/ 81 Ver datosEl pago del inmueble podrá realizarse con recursos propios o con crédito hipotecario de cualquier institución, pública o privada, sujeto a la negociación que lleguen las partes de la compraventa y a las políticas de la institución correspondiente. En todas las operaciones el costo total se determinará en función de los montos variables de conceptos de gastos notariales. Y en las que intervenga algún crédito, hay además montos variables de comisión por apertura y costo de avalúo. Número de registro ante profeco: Ver datosAviso de privacidad:. mx/s/Aviso-de-PrivacidadLa nom 247 puede ser consultada en el siguiente enlace:",25.4876895,-100.189937,0,El Ranchito,,525,4,5,3
17500,García,"Casa en renta en privada con vigilancia 24/7, con amenidades, consta de: primer nivel: Sala. Cocina. Comedor. Lavandería. Medio baño. Patio con alberca. Cochera para dos autos techada. segundo nivel: Estancia de tv. Recamara principal con vestidor y baño propio. Dos recamaras secundarias con roperías. Baño completo que comparten recamaras secundarias. no incluye muebles. ¡¡Mantenimiento incluido!! Se solicita póliza de arrendamiento. se acepta solo mascota pequeña",25.7707028,-100.4638931,0,Cumbres Provenza,108.0,188,3,2,2
11000,Apodaca,"Casa en Renta. Fraccionamiento Santa Cecilia. 2 Niveles. 2 Recamaras( recamara principal con baño y vestidor) 2 Mini split. Sala. Comedor. Cocina integral( con estufa, tarja y campana) 2 1/2 baños. Lavanderia Techada. Patio. Tinaco. Cochera para 1 auto. A 5 min de sendero Apodaca. 10 min de Colegios y hospitales. 15 min del Aeropuerto. Fraccionamiento semi cerrado, casa frente a parque",25.7756546,-100.2361806,0,Santa Cecilia,107.0,2,2,2,1
